0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1027	1000	0	0	583	0	0	0	0	0	0	0	0	0	0	0
1289	1762	1416	0	1027	1000	0	0	611	0	0	0	0	0	0	0
1432	2242	2496	1833	1289	1762	1416	0	1083	1047	0	0	611	0	0	0
-583	2504	3194	3230	1432	2242	2496	1833	1369	1857	1484	0	1083	1047	0	0
-1027	-1000	3575	4147	-583	2504	3194	3230	1535	2381	2631	1920	1369	1857	1484	0
-1289	-1762	-1416	4647	-1027	-1000	3575	4147	-611	2686	3393	3405	1535	2381	2631	1920
-1432	-2242	-2496	-1833	-1289	-1762	-1416	4647	-1083	-1047	3837	4405	-611	2686	3393	3405
583	-2504	-3194	-3230	-1432	-2242	-2496	-1833	-1369	-1857	-1484	4988	-1083	-1047	3837	4405
1027	1000	-3575	-4147	583	-2504	-3194	-3230	-1535	-2381	-2631	-1920	-1369	-1857	-1484	4988
1289	1762	1416	-4647	1027	1000	-3575	-4147	611	-2686	-3393	-3405	-1535	-2381	-2631	-1920
1432	2242	2496	1833	1289	1762	1416	-4647	1083	1047	-3837	-4405	611	-2686	-3393	-3405
0	2504	3194	3230	1432	2242	2496	1833	1369	1857	1484	-4988	1083	1047	-3837	-4405
0	0	3575	4147	0	2504	3194	3230	1535	2381	2631	1920	1369	1857	1484	-4988
0	0	0	4647	0	0	3575	4147	0	2686	3393	3405	1535	2381	2631	1920
0	0	0	0	0	0	0	4647	0	0	3837	4405	0	2686	3393	3405
0	0	0	0	0	0	0	0	0	0	0	4988	0	0	3837	4405
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4988
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
