0	0	0	0
0	0	0	0
0	0	0	0
7	0	0	0
7	12	0	0
6	12	17	0
6	11	17	22
249	11	16	22
249	244	16	21
250	244	239	21
250	245	239	234
7	245	240	234
7	12	240	235
6	12	17	235
6	11	17	22
0	11	16	22
0	0	16	21
250	0	0	21
250	245	0	0
0	245	0	0
0	0	0	0
6	0	0	0
6	11	0	0
0	11	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
