0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
259	252	0	0	147	0	0	0	0	0	0	0	0	0	0	0
325	444	357	0	259	252	0	0	154	0	0	0	0	0	0	0
361	565	629	462	325	444	357	0	273	264	0	0	154	0	0	0
261997	631	805	814	361	565	629	462	345	468	374	0	273	264	0	0
261885	261892	901	1045	261997	631	805	814	387	600	663	484	345	468	374	0
261819	261700	261787	1171	261885	261892	901	1045	261990	677	855	858	387	600	663	484
261783	261579	261515	261682	261819	261700	261787	1171	261871	261880	967	1110	261990	677	855	858
147	261513	261339	261330	261783	261579	261515	261682	261799	261676	261770	1257	261871	261880	967	1110
259	252	261243	261099	147	261513	261339	261330	261757	261544	261481	261660	261799	261676	261770	1257
325	444	357	260973	259	252	261243	261099	154	261467	261289	261286	261757	261544	261481	261660
361	565	629	462	325	444	357	260973	273	264	261177	261034	154	261467	261289	261286
0	631	805	814	361	565	629	462	345	468	374	260887	273	264	261177	261034
0	0	901	1045	0	631	805	814	387	600	663	484	345	468	374	260887
262078	0	0	1171	0	0	901	1045	0	677	855	858	387	600	663	484
262042	262023	0	0	262078	0	0	1171	0	0	967	1110	0	677	855	858
0	261957	0	0	262042	262023	0	0	262072	0	0	1257	0	0	967	1110
0	0	0	0	0	261957	0	0	262030	262012	0	0	0	0	0	1257
66	0	0	0	0	0	0	0	0	261935	0	0	0	0	0	0
102	121	0	0	66	0	0	0	0	0	0	0	0	0	0	0
0	187	0	0	102	121	0	0	72	0	0	0	0	0	0	0
0	0	0	0	0	187	0	0	114	132	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
