0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0
36	41	0	0	0	0	0	0
31	36	42	0	0	0	0	0
26	31	37	42	0	0	0	0
21	26	32	37	43	0	0	0
16	21	27	32	38	43	0	0
11	16	22	27	33	38	44	0
6	11	17	22	28	33	39	44
215	6	12	17	23	28	34	39
220	215	7	12	18	23	29	34
225	220	214	7	13	18	24	29
230	225	219	214	8	13	19	24
235	230	224	219	213	8	14	19
240	235	229	224	218	213	9	14
245	240	234	229	223	218	212	9
250	245	239	234	228	223	217	212
41	250	244	239	233	228	222	217
36	41	249	244	238	233	227	222
31	36	42	249	243	238	232	227
26	31	37	42	248	243	237	232
21	26	32	37	43	248	242	237
16	21	27	32	38	43	247	242
11	16	22	27	33	38	44	247
6	11	17	22	28	33	39	44
0	6	12	17	23	28	34	39
0	0	7	12	18	23	29	34
225	0	0	7	13	18	24	29
230	225	0	0	8	13	19	24
235	230	224	0	0	8	14	19
240	235	229	224	0	0	9	14
245	240	234	229	223	0	0	9
250	245	239	234	228	223	0	0
0	250	244	239	233	228	222	0
0	0	249	244	238	233	227	0
31	0	0	249	243	238	232	0
26	31	0	0	248	243	237	0
21	26	32	0	0	248	242	0
16	21	27	32	0	0	247	0
11	16	22	27	33	0	0	0
6	11	17	22	28	33	0	0
0	6	12	17	23	28	34	0
0	0	7	12	18	23	29	0
225	0	0	7	13	18	24	0
230	225	0	0	8	13	19	0
235	230	224	0	0	8	14	0
240	235	229	224	0	0	9	0
245	240	234	229	223	0	0	0
250	245	239	234	228	223	0	0
0	250	244	239	233	228	222	0
0	0	249	244	238	233	227	0
31	0	0	249	243	238	232	0
26	31	0	0	248	243	237	0
21	26	32	0	0	248	242	0
16	21	27	32	0	0	247	0
11	16	22	27	33	0	0	0
6	11	17	22	28	33	0	0
215	6	12	17	23	28	34	0
220	215	7	12	18	23	29	0
225	220	214	7	13	18	24	0
230	225	219	214	8	13	19	0
235	230	224	219	213	8	14	0
240	235	229	224	218	213	9	0
245	240	234	229	223	218	212	0
250	245	239	234	228	223	217	212
41	250	244	239	233	228	222	217
36	41	249	244	238	233	227	222
31	36	42	249	243	238	232	227
26	31	37	42	248	243	237	232
21	26	32	37	43	248	242	237
16	21	27	32	38	43	247	242
11	16	22	27	33	38	44	247
6	11	17	22	28	33	39	44
215	6	12	17	23	28	34	39
220	215	7	12	18	23	29	34
225	220	214	7	13	18	24	29
230	225	219	214	8	13	19	24
235	230	224	219	213	8	14	19
240	235	229	224	218	213	9	14
245	240	234	229	223	218	212	9
250	245	239	234	228	223	217	212
0	250	244	239	233	228	222	217
0	0	249	244	238	233	227	222
0	0	0	249	243	238	232	227
0	0	0	0	248	243	237	232
0	0	0	0	0	248	242	237
0	0	0	0	0	0	247	242
0	0	0	0	0	0	0	247
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
